threshold,total_cost,fraud_loss,friction_cost,precision,recall,f1
0.6,33580.06,19085.059999999998,14495.0,0.08836477987421383,0.4219219219219219,0.14612584503380135
0.61,33721.41,19826.41,13895.0,0.09034369885433716,0.4144144144144144,0.14834721848965332
0.62,33376.79,20091.79,13285.0,0.09255464480874318,0.4069069069069069,0.15080690038953812
0.63,33306.54,20746.54,12560.0,0.09314079422382672,0.38738738738738737,0.15017462165308498
0.64,33414.75,21659.75,11755.0,0.09507313317936875,0.3708708708708709,0.15134803921568626
0.65,32998.25,22048.25,10950.0,0.09876543209876543,0.36036036036036034,0.15503875968992248
0.66,32651.89,22476.89,10175.0,0.1027336860670194,0.34984984984984985,0.15882753919563736
0.67,33179.05,23824.050000000003,9355.0,0.10478468899521531,0.32882882882882886,0.15892597968069666
0.68,33374.07,24744.07,8630.0,0.10569948186528498,0.3063063063063063,0.15716486902927582
0.6900000000000001,33057.38,25002.379999999997,8055.0,0.1079734219269103,0.2927927927927928,0.15776699029126215
0.7000000000000001,33252.3,25592.3,7660.0,0.10826542491268917,0.27927927927927926,0.15604026845637584
0.7100000000000001,33615.25,26400.25,7215.0,0.10980876002467613,0.2672672672672673,0.15566243987756886
0.72,33472.18,26702.18,6770.0,0.11387434554973822,0.26126126126126126,0.15861440291704648
0.73,33315.39,26940.39,6375.0,0.11642411642411643,0.25225225225225223,0.1593172119487909
0.74,33460.86,27460.86,6000.0,0.11958914159941306,0.24474474474474475,0.16067028092656482
0.75,34018.18,28308.18,5710.0,0.12018489984591679,0.23423423423423423,0.15885947046843177
0.76,34533.899999999994,29188.899999999998,5345.0,0.12161051766639278,0.2222222222222222,0.1571959638874137
0.77,35008.83,29988.829999999998,5020.0,0.12237762237762238,0.21021021021021022,0.15469613259668508
0.78,35238.6,30673.6,4565.0,0.1238003838771593,0.19369369369369369,0.15105386416861827
0.79,35757.549999999996,31767.549999999996,3990.0,0.12595837897042717,0.17267267267267267,0.14566181127295758
0.8,35868.009999999995,32433.01,3435.0,0.12927756653992395,0.15315315315315314,0.1402061855670103
